"season","weather","temperature","humidity","windspeed","count"
"fall",1,0.640792,0.36,0.271775,73
"fall",1,0.675512,0.4225,0.17165,69
"fall",1,0.786613,0.48875,0.165417,55
"fall",1,0.702038,0.447083,0.195267,62
"fall",1,0.70265,0.492083,0.126237,67
"fall",1,0.761367,0.457917,0.194029,62
"fall",1,0.752533,0.450833,0.146142,62
"fall",2,0.654054,0.683333,0.180975,66
"fall",2,0.664796,0.6675,0.151737,63
"fall",1,0.650271,0.633333,0.151733,73
"fall",1,0.654683,0.529583,0.146775,74
"fall",2,0.667933,0.485833,0.08085,75
"fall",1,0.724125,0.645,0.164187,68
"fall",1,0.755683,0.505833,0.114429,68
"fall",1,0.745583,0.577083,0.137442,57
"fall",1,0.714642,0.600417,0.165429,66
"fall",2,0.613025,0.844167,0.208967,59
"fall",1,0.690017,0.694167,0.138683,70
"fall",1,0.70645,0.655,0.211454,76
"fall",1,0.654054,0.45,0.1648,82
"fall",1,0.739263,0.596667,0.284813,69
"fall",1,0.734217,0.594583,0.152992,69
"fall",1,0.684987,0.66875,0.153617,71
"fall",1,0.662896,0.704167,0.165425,72
"fall",1,0.667308,0.6775,0.141179,76
"fall",1,0.707088,0.659583,0.129354,73
"fall",2,0.722867,0.6425,0.215792,72
"fall",2,0.710246,0.654167,0.129354,70
"fall",2,0.697621,0.70375,0.116908,73
"fall",2,0.707717,0.672917,0.1107,75
"fall",1,0.699508,0.620417,0.1561,73
"fall",2,0.667942,0.715833,0.238813,58
"fall",1,0.662254,0.545417,0.136212,69
"fall",1,0.676779,0.686667,0.169158,68
"fall",1,0.654037,0.619583,0.169771,73
"fall",1,0.654688,0.519167,0.141796,76
"fall",1,0.2424,0.570833,0.231354,71
"fall",2,0.595967,0.734167,0.129979,65
"fall",1,0.601025,0.67375,0.0727708,70
"fall",1,0.621854,0.677083,0.0702833,74
"fall",1,0.637008,0.635833,0.0845958,78
"fall",2,0.6471,0.615,0.0721458,76
"fall",1,0.654688,0.730417,0.128733,69
"fall",1,0.66605,0.62,0.190925,70
"fall",1,0.635733,0.552083,0.112562,77
"fall",1,0.652779,0.590417,0.0771167,77
"fall",1,0.6894,0.5875,0.168533,74
"fall",1,0.686888,0.755,0.236321,69
"fall",1,0.708983,0.74125,0.187808,71
"fall",2,0.655329,0.810417,0.142421,62
"fall",1,0.657204,0.73625,0.171646,75
"fall",1,0.565654,0.50375,0.258713,75
"fall",1,0.554292,0.52,0.0920542,78
"fall",1,0.570075,0.577083,0.131846,79
"fall",1,0.579558,0.637083,0.0827208,78
"fall",1,0.594083,0.6725,0.103863,80
"fall",2,0.55305,0.734583,0.151742,69
"fall",2,0.565067,0.8725,0.357587,41
"fall",1,0.540404,0.536667,0.215175,76
"fall",1,0.532192,0.618333,0.118167,77
"fall",1,0.571971,0.66875,0.154229,82
"winter",1,0.502513,0.492917,0.142404,74
"winter",1,0.544179,0.57,0.236321,75
"winter",1,0.596613,0.630833,0.2444,77
"winter",2,0.607975,0.690833,0.134342,74
"winter",2,0.585863,0.69,0.164179,74
"winter",2,0.512,0.649167,0.0908042,68
"winter",3,0.542333,0.871667,0.104475,46
"winter",2,0.599133,0.79375,0.0665458,76
"winter",2,0.607975,0.722917,0.117546,73
"winter",1,0.580187,0.6275,0.10635,82
"winter",2,0.438112,0.761667,0.1903,64
"winter",1,0.503142,0.630833,0.187821,77
"winter",1,0.431167,0.463333,0.181596,76
"winter",1,0.433071,0.539167,0.235092,73
"winter",2,0.53915,0.7075,0.296037,59
"winter",1,0.460846,0.558333,0.182221,75
"winter",1,0.450108,0.692917,0.101371,75
"winter",2,0.512625,0.728333,0.236937,75
"winter",2,0.537896,0.815,0.134954,54
"winter",1,0.482942,0.568333,0.0814833,71
"winter",1,0.530304,0.641667,0.0945458,75
"winter",1,0.558721,0.63625,0.0727792,77
"winter",2,0.529688,0.800417,0.124375,74
"winter",2,0.52275,0.807083,0.132467,74
"winter",3,0.4394,0.88,0.3582,0
"winter",2,0.309909,0.825455,0.213009,11
"winter",2,0.3611,0.666667,0.166667,56
"winter",2,0.369942,0.581667,0.157346,60
"winter",1,0.356042,0.522083,0.266175,58
"winter",1,0.308075,0.494167,0.236325,53
"winter",1,0.281567,0.567083,0.173513,57
"winter",2,0.274621,0.5475,0.304108,50
"winter",1,0.341891,0.333478,0.347835,53
"winter",1,0.355413,0.540833,0.214558,60
"winter",2,0.323225,0.662917,0.342046,41
"winter",1,0.281563,0.552083,0.199625,55
"winter",2,0.324492,0.620417,0.152987,54
"winter",1,0.347204,0.524583,0.171025,57
"winter",2,0.375621,0.623333,0.235067,55
"winter",2,0.380667,0.685,0.082725,56
"winter",1,0.364892,0.61375,0.103246,51
"winter",1,0.378779,0.56875,0.148021,39
"winter",1,0.339004,0.535417,0.04665,51
"winter",2,0.281558,0.786667,0.237562,40
"winter",1,0.289762,0.50625,0.210821,53
"winter",1,0.298422,0.555652,0.115522,53
"winter",1,0.323867,0.649583,0.0584708,57
"winter",1,0.455796,0.7675,0.0827208,62
"winter",1,0.469054,0.73375,0.174129,66
"winter",1,0.428012,0.485,0.324021,57
"winter",1,0.258204,0.50875,0.174754,54
"winter",2,0.321958,0.764167,0.1306,50
"winter",2,0.435575,0.925,0.190308,52
"winter",2,0.338363,0.596667,0.296037,55
"winter",2,0.297338,0.538333,0.162937,53
"winter",1,0.294188,0.485833,0.174129,55
"winter",1,0.294192,0.642917,0.131229,56
"winter",2,0.4015,0.907083,0.0982583,46
"winter",1,0.409708,0.66625,0.221404,56
"winter",1,0.342162,0.625417,0.184092,53
"winter",2,0.335217,0.667917,0.132463,41
"spring",2,0.301767,0.556667,0.374383,36
"spring",2,0.2589,0.791304,0.0772304,9
"spring",3,0.220333,0.823333,0.316546,4
"spring",2,0.226642,0.652917,0.350133,21
"spring",2,0.255046,0.59,0.155471,31
"spring",2,0.223487,0.5775,0.154846,27
