"UrbanRural","Income","Race","Expenditure","KidsCount"
1,11100,3,4354.2499,4
1,72000,4,18453,2
1,25607,1,5605.2501,0
1,44140,1,11984,0
1,37676,1,18963.2501,0
1,10614,2,2867,0
1,95000,1,8940.0001,0
1,1626,1,12632,0
1,28000,2,7769.5,1
2,40550,1,4375.5999,2
1,23736,1,4583.9999,0
1,110200,1,24350.7501,0
1,84000,1,15602.6001,2
1,55000,2,10699.0001,1
1,343084,1,35021.5332,0
1,165640,1,34487.2501,1
1,49452,1,17404,0
1,92000,1,34921.5001,0
1,343329,1,44254.5,1
1,176960,2,29547.0001,1
1,46000,1,10147.75,0
1,27402,4,12592.0501,1
1,13235,1,9220.7499,0
1,150000,1,38015.75,2
1,100,1,3578.0001,0
1,52240,1,8513.1,3
1,100000,1,27661.1999,0
1,160000,6,20197.5664,0
2,43000,1,9642.1,0
1,17400,1,8815.7501,0
1,143648,1,20519.5003,0
1,11634,1,2345,0
1,27000,1,6715.5001,1
1,25000,6,6410.2501,0
1,50000,1,9927.25,0
1,12000,2,2649.5,0
1,14000,1,20613,0
2,26200,1,9567,0
1,36531,2,7233.7501,0
1,110000,1,19339.75,2
1,32378,1,12233.5,2
1,28327,1,8750.5,0
1,14826,6,19684.5,0
1,3150,4,23985.45,0
1,60000,1,13877.2832,0
1,87752,1,14926.4999,0
1,87600,6,12053,0
1,18000,1,8721.25,0
1,40000,1,9672,0
1,110000,4,11824.85,0
1,250000,1,25048.3332,0
1,100000,1,51150.6,0
1,10700,1,1019.75,0
1,125000,1,30808.75,0
1,55506,1,10049.25,0
1,206000,1,33490.9998,0
1,18489,4,8104.5,0
1,181700,1,22431.2501,0
1,157000,2,13686.6333,2
1,93000,1,12661.45,1
2,882,1,4012,0
1,38375,1,12298,0
1,77226,1,11715.5,1
1,15526,1,6706,0
1,33462,1,17381.5,0
1,117371,1,24230.8163,0
2,77000,1,9227.8002,0
1,21074,1,14598,0
1,343084,1,29644.2501,1
1,102000,2,9573.2499,0
1,37000,2,6363.7501,0
1,43226,1,10915.25,0
1,99000,1,17423.15,0
1,47932,2,13170,0
1,3135,2,3122,0
1,33000,2,6465.2501,0
1,64000,1,8377.25,0
1,23016,4,8388.0001,2
1,17600,1,14078.25,1
1,24048,1,6591.25,3
1,75000,1,14725.5999,2
1,77000,1,15563.7501,2
1,24000,1,5344.3002,0
1,92000,1,24379.2499,2
1,75000,1,15222.65,0
1,7440,2,8410.75,3
1,52000,1,17232.6499,2
1,22000,1,11745.75,0
1,80700,2,13501.7501,0
1,58762,1,16053.2501,0
1,3200,1,4315,0
1,35000,1,12830.5001,0
1,167000,1,31969.5003,1
1,37626,1,9237,0
1,31000,2,5331.5001,0
1,28452,1,7301,0
1,9085,1,5847,2
1,99100,1,11481.2502,0
1,60000,1,8896.5,0
1,16404,1,4920.5,0
1,110100,1,9461.75,0
2,46644,1,14968.2499,0
1,13328,1,38206,0
1,57000,1,6549.2501,0
1,36000,1,4799.5,0
1,43200,1,15501.2501,1
1,14580,1,3074,0
1,41148,1,7303.9999,0
1,22494,1,6274,0
1,75000,1,13220.5001,0
1,85000,4,19488.0332,1
1,42000,1,7464.4999,0
1,103650,1,19083.25,2
1,65200,1,6340.25,0
1,2369,1,12717,0
1,103000,1,15796.0001,0
1,150100,1,56147.2833,2
1,65000,6,10679.2501,0
1,85000,2,11223.7501,0
1,10824,1,2224,0
1,27539,1,16544,0
1,138000,1,64853.7499,1
1,7200,1,2172,0
1,132000,1,27610.7499,3
2,32926,1,7270.65,0
1,90000,1,15391.25,0
1,105226,1,19606.1499,0
1,29200,1,12135.9999,0
1,12000,1,6444.1501,0
1,216553,1,24260.5332,4
1,27407,1,7223,0
1,4500,1,11332.4501,0
1,175015,1,22436.55,2
1,403084,2,17709.9999,1
1,56556,1,14664.0001,0
1,10474,2,1732,0
1,40198,2,6654.75,0
1,100346,1,11591.2999,2
1,55500,2,8927.4999,2
1,69500,1,9069.2499,0
1,62660,1,11759.7501,0
1,92000,1,14013.5001,1
1,107726,1,15887.25,0
1,50619,1,14598.5002,0
1,62680,1,6685.3333,0
2,23226,1,6241.3333,0
1,22000,6,4182.1667,0
1,123200,1,11088.1667,0
1,1602,1,3684.3333,0
1,109345,1,9435.1667,0
1,51800,1,17180.6667,0
1,35077,1,18248,0
1,12582,1,2652.6667,0
1,120000,1,11063.5999,1
1,18426,1,2574.3333,0
1,35652,1,6222.5667,0
1,13000,1,2575.5001,0
1,24000,2,2397.3333,0
1,1626,2,2404.5,0
1,19584,1,7023.6667,0
2,31680,3,4064.3333,2
1,30198,4,5162.7999,0
1,28000,1,5617.3333,2
1,52000,1,10881.6667,0
1,130000,1,14601.0333,0
1,13811,1,2047.3333,0
1,107669,1,14089.1667,6
1,1626,1,5717.6667,0
1,445084,1,32237.3555,0
1,168000,1,18585.6667,2
1,50000,1,7260.6666,0
1,47321,1,33212.6667,0
1,97364,1,10362.5222,0
1,35000,1,4727.0001,0
1,72000,1,10952.3333,0
1,40632,1,10344.3333,0
1,29346,2,6513.3333,0
1,64987,4,8742.6667,0
2,32452,1,5315.6667,0
1,26634,1,7288.3333,0
1,44626,1,4635.7667,0
1,8475,1,2986,3
2,55117,1,9833.4999,0
1,57600,4,5223.0001,0
1,10512,2,2973.5,0
1,120000,1,14367.6667,2
1,31904,1,7237.1668,0
1,75000,1,3026.3334,0
2,62000,1,12226.9333,0
1,136582,1,11583.2333,0
1,50832,1,3518.6667,0
1,24000,1,3540.9667,0
1,45362,1,9492.3333,0
1,87433,1,21621.6667,0
1,89400,1,10401.8334,2
2,7000,1,5375.5999,0
1,14001,1,1491.8333,0
1,26400,4,3974.5,2
1,18330,1,2164.3333,0
2,46617,1,10504.6001,0
1,13000,2,3997.8334,1
1,15500,1,6781.4333,0
2,13766,1,2359,0
1,65482,1,10078.8333,0
1,98040,1,17303.0222,0
1,11700,1,6901.6667,2
1,191000,1,10598.6667,0
1,48000,1,3240,1
1,34700,1,3675.7334,0
1,34000,1,5267.1667,1
1,34000,2,5936.7333,1
1,468084,1,14989.8334,2
1,400,2,7314.9667,1
1,24426,1,3526.0001,0
1,40000,1,6631.3333,0
1,21304,1,3145.6667,0
2,16800,1,6219.3333,0
1,26000,1,3941.1667,0
1,51000,1,12067.3333,0
1,108000,1,18182.3333,2
1,145000,1,8756.1667,0
1,185000,4,60761.0222,2
1,343185,1,28316.1447,2
1,5000,1,4088.1666,0
1,110000,1,11831.8333,0
1,70000,1,4970.8333,0
1,34878,4,4433,0
1,7500,1,2155.8334,1
1,1285,1,2716,0
1,55102,2,7471.3333,0
1,52380,1,12141.4999,1
1,31000,1,3764.6667,0
1,26000,1,11313.0999,0
1,69826,1,5403.9333,0
1,25000,1,4908.8334,1
1,57200,1,4067.3334,0
1,56926,1,9329.5,0
1,198000,1,19844.5,1
2,50799,1,21390,0
1,20546,4,4086.6667,0
1,70000,2,6335.5,0
1,16026,1,2999,0
1,16836,1,2734.3333,0
1,162000,1,10574.9999,0
1,59000,1,9220.1667,4
1,35022,1,7744.6667,0
1,83002,1,9723.5001,0
1,42500,1,9310.3333,3
1,29400,1,25492.8667,0
1,116250,2,13323.1666,1
1,41600,1,9611.6667,0
1,55200,1,7600.4667,0
1,105626,4,15187.3334,0
1,73000,3,13811.8334,0
1,98050,1,9568.8333,0
1,30254,1,4081,0
1,13506,1,1547.3333,0
1,36648,1,9430.6667,0
1,93000,1,8888.1667,0
1,112000,1,12171.9001,2
1,57784,6,8150.1667,1
1,27200,1,6634.6667,3
1,25052,1,11517.3333,0
1,12000,1,2877.6667,2
1,87987,1,7434.3333,0
1,60003,1,9107.6667,0
2,31000,1,5670.3334,0
1,10284,5,5203.9,1
1,42410,1,6734.0001,0
2,22046,1,2957.8334,0
1,5724,6,1279.3333,0
1,174000,1,15602.1667,2
1,16886,2,5587.9001,4
1,36000,1,9107.3666,0
1,43000,4,7095.6667,0
1,18426,1,12765.6667,0
1,95000,1,6603.2667,0
2,19098,1,2857.3333,0
2,1626,1,4135,0
1,79200,1,7453.0001,0
1,62000,1,12857.7333,0
1,40800,1,5547.6667,0
1,112000,1,4161.3333,0
1,71882,1,6089,0
1,64600,1,8564.3333,1
1,84124,1,7622.3333,0
1,30328,2,5332.3333,1
1,12000,1,3183.5666,0
1,7800,1,4582.3333,0
1,79760,1,10240.3333,2
1,44503,1,15632.5001,0
1,11950,2,16522.6667,0
1,41304,1,5371.6667,0
1,13178,1,24649,0
1,20154,1,2045.3333,0
1,7800,1,2018.3333,0
1,134000,1,12403.3333,2
1,57442,1,39891.3999,0
1,71630,1,8727.5,0
1,145000,1,10168.4332,0
1,10117,1,2510,0
1,184100,1,54157.6887,0
1,140000,4,15683.1887,0
1,2080,1,6240.8333,0
1,48000,2,8968.9,0
1,29652,1,5031.6667,0
1,96536,1,10474.3335,2
1,150000,1,23001.5113,0
1,93500,1,13297.1333,0
1,100200,1,8533.4333,0
1,12000,1,9519.2001,3
1,68000,1,7087,0
1,13600,1,6897.0334,2
1,447084,1,24025.1667,1
1,291000,1,16278.9555,0
1,114554,1,8253.6667,0
1,7000,1,4271.5667,0
1,11395,1,1585.6667,0
1,28338,1,5930,0
2,15000,2,1734.6667,0
1,74000,1,11562.5,0
1,103358,1,15374.6887,0
1,4252,1,18927.3333,0
1,35478,1,5540.6667,0
2,75000,1,9473.3667,0
1,63300,1,12480.8333,0
2,12798,1,2336,0
1,87000,1,8661.8333,0
1,230000,1,16147,0
1,31200,1,5076.1667,0
1,521826,1,16676.1889,0
1,87000,1,11304.1667,1
1,120000,1,10307.3332,0
1,42540,2,11267.3333,0
1,95526,1,6468.3333,6
1,20006,1,8642.1666,1
1,22368,1,2881.3333,0
1,200,1,11413.5333,0
2,26426,1,4888.0001,0
1,138823,1,18195.6667,0
1,60228,1,18606.6667,0
1,62526,1,8038.1333,0
1,16026,1,4731,0
1,172000,1,14507,0
1,133155,1,20778.8556,0
1,27390,2,2843.6667,0
2,36716,1,4735,0
1,134000,1,51624.0221,2
1,8826,1,4171.3333,0
1,72804,1,7842.6667,0
1,18498,1,3220.3333,0
1,104910,1,8205.3333,0
1,25500,1,3640.8333,0
1,22904,1,2991.6667,0
1,98000,4,16367.1888,0
1,113000,4,32572.6667,3
1,75000,1,24313.6667,0
1,55000,4,9015.0001,0
1,86000,1,9501.0333,0
1,75000,1,8788.5333,2
1,26106,1,10330.6667,0
1,13000,1,16833.6667,0
1,950,2,5801.3333,3
1,126800,4,12170.9999,1
1,70500,4,3110.6667,0
1,55000,1,6441.1666,0
2,55000,1,26197.6667,2
1,37626,2,3346.3333,0
1,100000,1,8383.0001,1
1,408091,1,42054.6665,0
1,78000,1,11116.5001,1
1,343084,4,14597.1666,0
1,132500,1,13508.4999,0
2,86000,1,13282.8554,1
1,114131,1,12902.8334,0
1,1261,2,3161.3333,0
1,65526,6,7213,0
1,1814,4,4767.8333,0
1,70000,1,9078.8333,0
1,15000,2,3896.3334,0
1,81000,1,15860.3554,2
1,126671,1,9171.1667,2
1,54744,1,5176.8334,0
1,14094,6,1940.6667,0
1,157658,1,24388.1668,0
1,120000,1,9122.6667,3
1,61000,1,8318.3999,0
1,48000,2,9721,0
1,142000,1,14858.4999,3
1,25180,1,3734.5001,0
1,86000,1,6069.5,2
1,45779,1,4252.6667,0
1,67005,1,4870.6667,0
1,479084,4,27313.9999,2
1,23554,1,4673.3333,0
1,23892,1,3501,0
1,35000,1,6682.3334,0
1,27000,1,4572.3334,0
1,51000,1,14722.3334,2
1,37200,1,3605.6667,0
1,105445,1,8531.3333,0
1,67000,1,6772.0001,0
1,41913,1,10426.3333,0
1,187500,1,25466.5221,0
1,85000,1,8175.5001,2
1,17280,2,2482.3333,0
1,47687,1,11846.3333,0
1,109000,1,16513.3999,0
1,152340,1,20143.5221,0
1,137000,1,12247.1667,0
1,19312,1,3308.3333,0
2,16276,1,2399.4999,0
1,51995,1,3872.6667,0
1,44522,6,5560.6666,1
1,26400,1,3347.3333,0
1,37500,1,5070.1666,1
1,70895,1,12661.8334,1
1,3080,1,3256,0
1,399084,1,16846.8113,0
1,48692,1,13757.1651,0
1,78000,1,7243.1667,2
1,3510,2,3144.6667,0
1,123421,1,4885.3334,0
1,198000,1,15373,0
1,165000,1,25445.1667,0
1,17880,1,3065.9,1
1,74000,1,7085.7667,0
1,159000,1,19030.3334,1
1,31000,2,4809.1333,0
1,2136,2,450.9999,0
1,63001,1,7915.6667,0
1,92200,1,5719.6666,2
1,165326,1,18416.4667,0
1,107000,1,12672.3334,0
1,2800,1,4381.1667,1
1,43000,1,8964.3333,0
1,5507,1,6753,0
1,55000,1,19119.6667,0
1,110000,1,10189.2666,0
1,2000,1,2015.9999,0
1,36524,2,8938.6667,0
1,59612,1,7278.7666,0
1,55000,1,15393.6667,0
1,19075,1,3551.3333,0
1,24392,1,2571.3333,0
1,107060,1,11052.1333,0
2,87000,1,30924.6668,0
1,29139,1,3099.6667,0
1,28074,1,5783.3667,0
1,31440,1,4261.6667,0
1,23266,2,2579.5,0
1,91000,1,11024.6667,0
1,37626,1,2522.3333,0
1,50000,6,5275.3333,0
1,117500,1,8560.4999,0
1,38000,2,5621.6666,0
1,146000,1,45635.5,0
2,3000,1,3467.3334,0
1,62000,2,6633.8333,0
1,22588,1,3323.3333,0
1,22028,1,7011.0667,0
1,160000,1,15534.1889,0
1,11474,1,4426,0
1,960,1,1939.3333,0
1,150000,1,14407.8,0
1,22358,1,4748.3333,0
1,54352,1,20854.8318,2
1,83000,1,13146.1668,0
1,23980,1,4018.1667,3
1,26226,1,3390.3334,0
1,186200,1,21280.1666,0
1,21710,1,3816.6667,0
1,147000,1,9596.8333,1
1,165000,1,16849.8555,2
1,34000,1,4169.8333,0
1,23600,1,8427.1666,2
1,108600,1,36164.2,0
1,22226,1,8737.6667,0
1,32010,1,6015.6667,0
1,63000,1,7984.1666,1
1,90871,1,10660.9999,3
2,62000,1,10237.9999,0
1,41884,1,5873.3333,1
1,133000,1,9560.1668,1
1,82400,2,9912.6666,1
1,46000,1,5098.1667,0
1,137800,1,11646.6667,3
1,132000,1,18013.4999,0
2,49149,1,12256.8333,0
1,43000,1,5664.0667,0
1,34020,1,4382.1667,0
1,58000,1,5239.1666,0
1,227000,1,14364.6667,0
1,75000,2,6011.6667,0
1,93960,1,11235,3
1,61500,1,11920.1554,0
1,1800,4,246.3333,0
1,142000,1,11946.6667,0
1,48132,1,8339.6667,0
1,216500,1,14341.6667,0
1,13210,1,414.3333,0
1,110000,1,9492.6667,0
1,47360,1,21622.1667,2
1,115100,4,15853,0
1,36400,4,5709.8333,1
1,62400,2,7028.1667,1
2,98000,1,8409.3667,0
1,155000,1,15026.2,1
1,140000,1,10517.6667,0
1,65000,1,14452.0667,1
1,45000,1,6233.5999,3
1,100000,1,10647.8555,0
1,84000,2,8756.9001,0
1,58000,4,8275.6667,0
1,16332,1,2841.3333,0
1,365576,1,36811.8555,1
1,58800,2,4909.9667,0
1,52766,1,6866.6667,0
1,72600,1,11346.0999,3
1,11122,2,1564.6667,0
1,346084,1,38574.478,0
1,33372,1,5169.3333,0
1,58260,1,7847.6667,0
2,71000,1,8615.6667,0
1,19155,1,7434,0
1,3252,1,4395.3333,0
1,71280,1,11977.8555,1
1,145000,4,16039.6667,0
1,25623,1,4685.3333,0
2,67126,1,30342.9999,1
1,80052,1,9048,0
1,3252,1,6920.3333,0
1,17756,4,7547.2666,2
1,21563,1,7764,0
1,16182,2,4441.2667,1
1,77000,2,5657.8334,1
1,69000,1,5716.3333,0
1,72000,1,15338.6667,0
1,144000,2,8797.8333,0
1,30000,1,3413.1667,0
1,170006,1,19616,1
1,13100,1,1776,0
1,43229,2,8580.1668,4
1,21072,1,5837.6667,0
1,102000,1,9922.1667,0
1,483084,1,45842.3333,1
1,53000,1,4594.0667,0
1,200,1,5332,0
1,206468,1,12905.9999,0
1,116000,1,11744.3333,0
1,15356,1,3629.8999,1
1,8599,6,1820.3333,0
1,44536,1,3107.8333,0
1,134000,1,4178.5,0
1,165239,1,15405,2
1,67000,2,5072.1611,1
1,254000,1,3776.2611,0
1,197186,1,17266.4278,0
1,155025,1,3039.3333,0
2,24790,1,1992,0
1,9564,1,865,0
1,154000,1,9045.5,0
1,132055,1,2697,0
1,46000,1,4229.3333,0
1,50000,4,3308.75,2
1,144301,1,4579.6667,0
1,700,1,1809.5,1
1,33852,1,5103.6667,0
1,160000,1,7826.6666,0
1,122552,1,10240.8333,0
1,94990,2,9696.4167,0
1,85000,1,4050.25,1
2,44142,1,6459.25,2
1,15500,1,2568.6667,1
1,168200,1,8668.6444,0
1,112000,1,8271.3333,0
1,37000,2,5367.5834,2
1,75000,1,5929.5666,3
1,70000,1,5291,0
1,15426,1,3105,0
1,28074,1,963,0
1,69000,1,4970.55,0
1,39442,1,3480.5333,0
1,8892,2,845.3333,0
1,55000,1,5298,0
1,123003,1,6502.0666,0
1,297000,1,10923.5,2
1,130000,1,7006.3333,0
2,16746,1,1860.25,0
1,49002,1,2586.4167,0
1,54500,1,25811.4167,4
1,96000,2,3906.05,1
1,54072,1,2936.6667,0
1,50400,1,4381,0
2,89000,1,4381.9334,0
1,3031,1,712.6667,0
1,44000,4,4028.5,0
1,46000,1,3352.9167,0
1,5950,1,446.6667,0
1,22626,1,1658.6667,0
1,493084,1,10941.3333,1
1,81100,1,23701.5,0
2,102859,1,10419.3333,1
1,20226,1,760.5,0
1,77000,1,5640.1001,2
1,97200,1,7271.75,1
1,65000,4,6761.75,0
1,41226,1,2938,0
1,110000,1,6993,1
1,90000,1,4647.4167,0
1,1626,1,3970.1,0
1,28000,1,2221.6667,0
1,167200,1,11283.25,0
1,44052,4,2703.6667,0
2,28182,1,2781.3333,0
2,80052,1,6038,0
2,43000,1,3046.1667,1
1,62000,1,3363.5833,0
1,202000,1,26453.5,1
1,14639,1,908.6667,0
1,78780,1,4065.1667,0
1,50000,4,2034.4167,0
1,238115,1,12248.5,0
1,51650,1,1867.25,0
1,133533,1,6403.3333,0
1,76000,1,17216.75,0
1,4800,1,4737.0333,0
1,62120,2,4169.4166,1
1,205930,1,9379.2833,0
1,391084,1,11072.5111,0
1,38200,1,9239.7945,2
1,115000,1,4831.8334,3
1,22000,2,2356.95,2
1,64000,1,4355.0833,0
1,73500,1,10942.6167,0
1,64902,1,2714.9166,0
1,187397,1,17053.3444,0
1,17000,2,1479.3,0
1,30000,1,4041.1667,1
1,39548,1,3385.5,2
1,31466,1,2240.1667,0
1,103697,4,7591.3333,0
1,123200,1,7912.6667,0
1,82250,1,2820.8333,1
1,35000,1,1549.8334,2
1,98000,1,5272.8833,0
1,22000,1,2393.9167,1
1,130000,1,5451.0834,0
1,36100,1,2128.6667,0
1,60000,1,3711.5833,2
1,105000,1,3572.75,0
1,8436,1,885.6667,0
1,17879,1,1915,0
1,15560,1,1782.8334,2
1,94052,1,2873.4167,0
1,42252,1,2084,0
1,35300,1,3219.75,3
1,71440,1,2760.0333,0
1,37400,1,2419.8333,1
2,55200,1,10523.3333,0
1,137000,1,6345.0834,2
1,44000,2,2355.8333,1
1,9120,1,1688,0
1,2578,1,1183,0
2,90000,1,6066.3333,0
1,7735,2,2211.6666,2
1,134500,1,4947.1667,1
1,29000,1,3385.25,0
1,66716,1,4142.9,0
1,150000,4,4708.7611,0
1,7000,2,2504.7667,0
1,104208,1,5557.1667,0
1,40930,2,2258.3833,3
1,25000,1,2986.4167,2
1,49652,4,2647.3333,0
1,57000,4,3989.4167,0
1,35130,1,10757.3333,0
1,92501,1,4835,1
1,162000,1,11338.25,1
1,66600,1,3805.75,2
1,57196,1,2815.0834,0
2,39230,1,5587.9167,0
1,14400,4,9611.6777,0
1,284000,4,15770,1
1,49000,1,2664.0834,1
2,39708,1,4616,0
1,15324,1,3157.0833,0
1,235000,1,8004.3334,0
1,56042,1,9565.6667,0
1,205000,1,11193.2501,2
1,473084,1,10881.1611,1
1,131036,1,4240.8334,1
1,1626,1,1929.6667,0
1,54000,1,3922,3
2,8800,1,804.0833,1
1,100000,1,4085.1667,0
1,12528,1,700,0
1,163000,1,34345.3334,0
1,13200,1,2959.6667,0
1,64000,1,3879,4
1,47652,1,2119,0
1,30650,1,2867.25,3
1,11662,1,2568.6333,0
1,82000,1,7304.1666,1
1,271601,1,19105.9167,0
1,48885,1,6791.3333,0
1,18446,1,1996.6666,1
1,92000,1,4743.8333,2
